IdProducto,CodigoProducto,NombreProducto,DescripcionProducto,PrecioUnitario,CategoriaProducto
1,PROD1,Producto 1,Descripcion del producto 1,67,97,Categoria 2
2,PROD2,Producto 2,Descripcion del producto 2,32,98,Categoria 3
3,PROD3,Producto 3,Descripcion del producto 3,7,15,Categoria 4
4,PROD4,Producto 4,Descripcion del producto 4,11,61,Categoria 5
5,PROD5,Producto 5,Descripcion del producto 5,12,47,Categoria 1
6,PROD6,Producto 6,Descripcion del producto 6,53,12,Categoria 2
7,PROD7,Producto 7,Descripcion del producto 7,27,02,Categoria 3
8,PROD8,Producto 8,Descripcion del producto 8,68,53,Categoria 4
9,PROD9,Producto 9,Descripcion del producto 9,91,59,Categoria 5
10,PROD10,Producto 10,Descripcion del producto 10,72,64,Categoria 1
11,PROD11,Producto 11,Descripcion del producto 11,97,54,Categoria 2
12,PROD12,Producto 12,Descripcion del producto 12,50,90,Categoria 3
13,PROD13,Producto 13,Descripcion del producto 13,96,53,Categoria 4
14,PROD14,Producto 14,Descripcion del producto 14,72,05,Categoria 5
15,PROD15,Producto 15,Descripcion del producto 15,82,47,Categoria 1
