IdSucursal,CodigoSucursal,NombreSucursal,DireccionSucursal,CiudadSucursal,PaisSucursal
1,SUC1,Sucursal 1,Direccion 1,Ciudad 2,Pais 2
2,SUC2,Sucursal 2,Direccion 2,Ciudad 3,Pais 3
3,SUC3,Sucursal 3,Direccion 3,Ciudad 4,Pais 4
4,SUC4,Sucursal 4,Direccion 4,Ciudad 5,Pais 5
5,SUC5,Sucursal 5,Direccion 5,Ciudad 6,Pais 1
6,SUC6,Sucursal 6,Direccion 6,Ciudad 7,Pais 2
7,SUC7,Sucursal 7,Direccion 7,Ciudad 8,Pais 3
8,SUC8,Sucursal 8,Direccion 8,Ciudad 9,Pais 4
9,SUC9,Sucursal 9,Direccion 9,Ciudad 10,Pais 5
10,SUC10,Sucursal 10,Direccion 10,Ciudad 1,Pais 1
11,SUC11,Sucursal 11,Direccion 11,Ciudad 2,Pais 2
12,SUC12,Sucursal 12,Direccion 12,Ciudad 3,Pais 3
13,SUC13,Sucursal 13,Direccion 13,Ciudad 4,Pais 4
14,SUC14,Sucursal 14,Direccion 14,Ciudad 5,Pais 5
15,SUC15,Sucursal 15,Direccion 15,Ciudad 6,Pais 1
16,SUC16,Sucursal 16,Direccion 16,Ciudad 7,Pais 2
17,SUC17,Sucursal 17,Direccion 17,Ciudad 8,Pais 3
18,SUC18,Sucursal 18,Direccion 18,Ciudad 9,Pais 4
19,SUC19,Sucursal 19,Direccion 19,Ciudad 10,Pais 5
20,SUC20,Sucursal 20,Direccion 20,Ciudad 1,Pais 1
