IdTiempo,Fecha,Anio,Mes,Dia,Trimestre,Semestre
1,2022-01-01,2022,1,1,1,1
2,2022-01-02,2022,1,2,1,1
3,2022-01-03,2022,1,3,1,1
4,2022-01-04,2022,1,4,1,1
5,2022-01-05,2022,1,5,1,1
6,2022-01-06,2022,1,6,1,1
7,2022-01-07,2022,1,7,1,1
8,2022-01-08,2022,1,8,1,1
9,2022-01-09,2022,1,9,1,1
10,2022-01-10,2022,1,10,1,1
11,2022-01-11,2022,1,11,1,1
12,2022-01-12,2022,1,12,1,1
13,2022-01-13,2022,1,13,1,1
14,2022-01-14,2022,1,14,1,1
15,2022-01-15,2022,1,15,1,1
16,2022-01-16,2022,1,16,1,1
17,2022-01-17,2022,1,17,1,1
18,2022-01-18,2022,1,18,1,1
19,2022-01-19,2022,1,19,1,1
20,2022-01-20,2022,1,20,1,1
21,2022-01-21,2022,1,21,1,1
22,2022-01-22,2022,1,22,1,1
23,2022-01-23,2022,1,23,1,1
24,2022-01-24,2022,1,24,1,1
25,2022-01-25,2022,1,25,1,1
26,2022-01-26,2022,1,26,1,1
27,2022-01-27,2022,1,27,1,1
28,2022-01-28,2022,1,28,1,1
29,2022-01-29,2022,1,29,1,1
30,2022-01-30,2022,1,30,1,1
31,2022-01-31,2022,1,31,1,1
32,2022-02-01,2022,2,1,1,1
33,2022-02-02,2022,2,2,1,1
34,2022-02-03,2022,2,3,1,1
35,2022-02-04,2022,2,4,1,1
36,2022-02-05,2022,2,5,1,1
37,2022-02-06,2022,2,6,1,1
38,2022-02-07,2022,2,7,1,1
39,2022-02-08,2022,2,8,1,1
40,2022-02-09,2022,2,9,1,1
41,2022-02-10,2022,2,10,1,1
42,2022-02-11,2022,2,11,1,1
43,2022-02-12,2022,2,12,1,1
44,2022-02-13,2022,2,13,1,1
45,2022-02-14,2022,2,14,1,1
46,2022-02-15,2022,2,15,1,1
47,2022-02-16,2022,2,16,1,1
48,2022-02-17,2022,2,17,1,1
49,2022-02-18,2022,2,18,1,1
50,2022-02-19,2022,2,19,1,1
51,2022-02-20,2022,2,20,1,1
52,2022-02-21,2022,2,21,1,1
53,2022-02-22,2022,2,22,1,1
54,2022-02-23,2022,2,23,1,1
55,2022-02-24,2022,2,24,1,1
56,2022-02-25,2022,2,25,1,1
57,2022-02-26,2022,2,26,1,1
58,2022-02-27,2022,2,27,1,1
59,2022-02-28,2022,2,28,1,1
60,2022-03-01,2022,3,1,1,1
61,2022-03-02,2022,3,2,1,1
62,2022-03-03,2022,3,3,1,1
63,2022-03-04,2022,3,4,1,1
64,2022-03-05,2022,3,5,1,1
65,2022-03-06,2022,3,6,1,1
66,2022-03-07,2022,3,7,1,1
67,2022-03-08,2022,3,8,1,1
68,2022-03-09,2022,3,9,1,1
69,2022-03-10,2022,3,10,1,1
70,2022-03-11,2022,3,11,1,1
71,2022-03-12,2022,3,12,1,1
72,2022-03-13,2022,3,13,1,1
73,2022-03-14,2022,3,14,1,1
74,2022-03-15,2022,3,15,1,1
75,2022-03-16,2022,3,16,1,1
76,2022-03-17,2022,3,17,1,1
77,2022-03-18,2022,3,18,1,1
78,2022-03-19,2022,3,19,1,1
79,2022-03-20,2022,3,20,1,1
80,2022-03-21,2022,3,21,1,1
81,2022-03-22,2022,3,22,1,1
82,2022-03-23,2022,3,23,1,1
83,2022-03-24,2022,3,24,1,1
84,2022-03-25,2022,3,25,1,1
85,2022-03-26,2022,3,26,1,1
86,2022-03-27,2022,3,27,1,1
87,2022-03-28,2022,3,28,1,1
88,2022-03-29,2022,3,29,1,1
89,2022-03-30,2022,3,30,1,1
90,2022-03-31,2022,3,31,1,1
91,2022-04-01,2022,4,1,2,1
92,2022-04-02,2022,4,2,2,1
93,2022-04-03,2022,4,3,2,1
94,2022-04-04,2022,4,4,2,1
95,2022-04-05,2022,4,5,2,1
96,2022-04-06,2022,4,6,2,1
97,2022-04-07,2022,4,7,2,1
98,2022-04-08,2022,4,8,2,1
99,2022-04-09,2022,4,9,2,1
100,2022-04-10,2022,4,10,2,1
101,2022-04-11,2022,4,11,2,1
102,2022-04-12,2022,4,12,2,1
103,2022-04-13,2022,4,13,2,1
104,2022-04-14,2022,4,14,2,1
105,2022-04-15,2022,4,15,2,1
106,2022-04-16,2022,4,16,2,1
107,2022-04-17,2022,4,17,2,1
108,2022-04-18,2022,4,18,2,1
109,2022-04-19,2022,4,19,2,1
110,2022-04-20,2022,4,20,2,1
111,2022-04-21,2022,4,21,2,1
112,2022-04-22,2022,4,22,2,1
113,2022-04-23,2022,4,23,2,1
114,2022-04-24,2022,4,24,2,1
115,2022-04-25,2022,4,25,2,1
116,2022-04-26,2022,4,26,2,1
117,2022-04-27,2022,4,27,2,1
118,2022-04-28,2022,4,28,2,1
119,2022-04-29,2022,4,29,2,1
