IdVenta,IdProducto,IdSucursal,IdCliente,IdVendedor,IdTiempo,CantidadVenta,TotalVenta
1,5,9,50,14,179,9,112,23
2,5,9,73,24,164,10,124,70
3,7,1,39,6,44,6,162,12
4,3,10,55,11,118,5,35,75
5,12,3,93,14,139,10,509,00
6,4,4,99,14,69,4,46,44
7,2,18,97,13,91,1,32,98
8,7,8,32,1,118,8,216,16
9,1,16,75,24,38,9,611,73
10,5,13,2,9,173,10,124,70
11,2,14,40,15,109,3,98,94
12,1,15,99,22,141,2,135,94
13,13,5,61,20,104,11,1061,83
14,11,6,74,7,88,10,975,40
15,14,4,5,25,16,8,576,40
16,3,14,4,9,113,9,64,35
17,11,8,61,28,154,2,195,08
18,4,7,46,8,36,7,81,27
19,8,13,44,10,27,4,274,12
20,5,13,71,10,151,2,24,94
21,4,20,66,23,157,8,92,88
22,10,11,27,16,168,8,581,12
23,9,20,8,21,62,5,457,95
24,14,12,26,21,122,5,360,25
25,11,18,24,8,105,5,487,70
26,14,2,42,23,8,1,72,05
27,6,14,98,9,93,5,265,60
28,8,7,45,16,157,2,137,06
29,10,20,88,28,142,10,726,40
30,12,9,68,23,148,10,509,00
31,7,17,68,19,71,2,54,04
32,9,17,87,15,125,2,183,18
33,14,10,59,13,55,7,504,35
34,7,15,8,24,109,9,243,18
35,7,5,49,8,27,6,162,12
36,15,4,94,23,111,6,494,82
37,2,14,90,21,177,7,230,86
38,12,7,76,29,126,4,203,60
39,12,15,66,9,82,5,254,50
40,3,13,30,16,174,8,57,20
41,14,16,4,22,4,3,216,15
42,15,1,69,5,88,10,824,70
43,11,15,34,16,160,3,292,62
44,14,19,78,9,124,6,432,30
45,4,5,77,19,55,11,127,71
46,14,3,6,8,73,1,72,05
47,7,15,75,28,69,3,81,06
48,13,4,77,12,148,11,1061,83
49,12,17,47,18,129,2,101,80
50,8,14,89,29,14,2,137,06
51,3,4,34,26,12,4,28,60
52,8,11,78,21,170,7,479,71
53,15,8,35,12,92,9,742,23
54,2,3,88,10,34,5,164,90
55,13,16,48,14,52,3,289,59
56,11,8,61,4,98,3,292,62
57,14,20,44,16,50,2,144,10
58,12,19,9,2,38,5,254,50
59,5,18,22,26,160,4,49,88
60,11,1,1,14,111,10,975,40
61,8,2,91,10,135,8,548,24
62,10,17,66,28,51,7,508,48
63,6,11,73,30,55,1,53,12
